TAGCODE as text,Release Year,Age,Brood Year,Release site,rel timing,rel loc rel to LGR,Begin Release,adult origin,AD+CWT+VIE at release,Number AD+CWT at release,AD+VIE at release,Adipose Only at release,CWT+VIE at release,CWT Only at release,BWT Only at release,BRAND ONLY at release,BWT +BRAND at release,VIE Only at release, Unmarked Untagged at release , Total Released at release , total WIRES at release , Total Adclips with wires at release , Total AD clips released wire and no wire , Estimated fallback rate ,% CWT at release,expected % AD cwt assoc,exp % no clip assoc (unmark/untag),% unm/untag at release (ignore PIT tags),% AD clipped
220509,2019,subyearling,2018,CJA1,E,abv,,SR hatchery,,199024,,1990,,0,,,,,262804," 463,818 ","199,024"," 199,024 "," 201,014 ",,0.43,0.01,0.99,57%,0.43 
220511,2019,subyearling,2018,BCA1,E,abv,,SR hatchery,,197200,,5127,,0,,,,,265551," 467,878 ","197,200"," 197,200 "," 202,327 ",,0.42,0.02,0.98,57%,0.43 
637422,2019,subyearling,2018,LFSO,N,blw,,SR hatchery,,201013,,1264,,1686,,,,,539931," 743,894 ","202,699"," 201,013 "," 202,277 ",,0.27,0.00,1.00,73%,0.27 
220513,2019,subyearling,2018,PLA1,E,abv,,SR hatchery,,196832,,1968,,394,,,,,203752," 402,946 ","197,226"," 196,832 "," 198,800 ",,0.49,0.01,0.99,51%,0.49 
220510,2019,subyearling,2018,CJA2,L,abv,,SR hatchery,,205483,,2055,,0,,,,,785," 208,323 ","205,483"," 205,483 "," 207,538 ",,0.99,0.72,0.28,0%,1.00 
220512,2019,subyearling,2018,BCA2,L,abv,,SR hatchery,,203647,,3666,,815,,,,,1000," 209,128 ","204,462"," 203,647 "," 207,313 ",,0.98,0.79,0.21,0%,0.99 
220514,2019,subyearling,2018,PLA2,L,abv,,SR hatchery,,204182,,409,,409,,,,,3540," 208,540 ","204,591"," 204,182 "," 204,591 ",,0.98,0.10,0.90,2%,0.98 
637420,2019,subyearling,2018,GRR,N,abv,,SR hatchery,,191602,,17553,,2115,,,,,634," 211,904 ","193,717"," 191,602 "," 209,155 ",,0.91,0.97,0.03,0%,0.99 
220272,2019,subyearling,2018,NPTH,N,abv,,SR hatchery,,102870,,778,,2031,,,,,317378," 423,057 ","104,901"," 102,870 "," 103,648 ",,0.25,0.00,1.00,75%,0.24 
220269,2019,subyearling,2018,LGA,N,abv,,SR hatchery,,101920,,1059,,2195,,,,,172064," 277,238 ","104,115"," 101,920 "," 102,979 ",,0.38,0.01,0.99,62%,0.37 
220268,2018,subyearling,2017,CFA,N,abv,,SR hatchery,,100387,,857,,962,,,,,174938," 277,144 ","101,349"," 100,387 "," 101,244 ",,0.37,0.00,1.00,63%,0.37 
220267,2019,subyearling,2018,CFA,N,abv,,SR hatchery,,103476,,1078,,3402,,,,,151796," 259,752 ","106,878"," 103,476 "," 104,554 ",,0.41,0.01,0.99,58%,0.40 
220270,2019,subyearling,2018,NLVA,N,abv,,SR hatchery,,100673,,5357,,2280,,,,,123322," 231,632 ","102,953"," 100,673 "," 106,030 ",,0.44,0.04,0.96,53%,0.46 
unass,2019,parr,2018,NPTH,N,abv,,SR hatchery,,,,,,,,,,,70125," 70,125 ",0, -   , -   ,,0.00,0.00,1.00,100%,0.00 
91286,2019,subyearling,2018,IPCSR,N,abv,,SR hatchery,,209044,,20337,,2128,,,,,824984," 1,056,493 ","211,172"," 209,044 "," 229,381 ",,0.20,0.02,0.98,78%,0.22 
200126,2017,yearling,2015,Omak Pond,N,blw,,stray hatchery,,191661,,4144,,16231,,,,,690," 212,726 ","207,892"," 191,661 "," 195,805 ",,0.98,0.86,0.14,0%,0.92 
91255,2018,subyearling,2017,RSH,N,blw,,stray hatchery,,131492,,,,316,,,,,," 131,808 ","131,808"," 131,492 "," 131,492 ",,1.00,0.00,1.00,0%,1.00 
91184,2018,subyearling,2017,UMA,N,blw,,stray hatchery,,169160,,997,,,,,,,332," 170,489 ","169,160"," 169,160 "," 170,157 ",,0.99,0.75,0.25,0%,1.00 
91277,2019,yearling,2017,UMA,N,blw,,stray hatchery,,201399,,1033,,3098,,,,,1033," 206,563 ","204,497"," 201,399 "," 202,432 ",,0.99,0.50,0.50,1%,0.98 
190538,2019,yearling,2017,CEFH,N,abv,,stray hatchery,,37494,,,,,,,,,," 37,494 ","37,494"," 37,494 "," 37,494 ",,1.00,0.00,1.00,0%,1.00 
220397,2019,yearling,2017,FCAP,U,abv,mixed wire,SR hatchery,,70075,,,,,,,,,," 70,075 ","70,075"," 70,075 "," 70,075 ",,1.00,0.00,1.00,0%,1.00 
220394,2019,yearling,2017,FCAP,U,abv,mixed wire,SR hatchery,,,,,,77015,,,,,," 77,015 ","77,015", -   , -   ,,1.00,0.00,1.00,0%,0.00 
220195,2020,subyearling,2019,CJA1,E,abv,,SR hatchery,,250626.3256,,158,,948,,,,,217234," 468,967 ","251,575"," 250,626 "," 250,785 ",,0.54,0.00,1.00,46%,0.53 
220197,2020,subyearling,2019,BCA1,E,abv,,SR hatchery,,200098,,126,,757,,,,,259833," 460,814 ","200,855"," 200,098 "," 200,224 ",,0.44,0.00,1.00,56%,0.43 
637758,2020,subyearling,2019,LFSO,N,blw,,SR hatchery,,200017,,384,,384,,,,,494253," 695,038 ","200,401"," 200,017 "," 200,401 ",,0.29,0.00,1.00,71%,0.29 
220199,2020,subyearling,2019,PLA1,E,abv,,SR hatchery,,200082,,126,,757,,,,,202220," 403,185 ","200,839"," 200,082 "," 200,208 ",,0.50,0.00,1.00,50%,0.50 
220196,2020,subyearling,2019,CJA2,L,abv,,SR hatchery,,202286,,128,,766,,,,,255," 203,435 ","203,052"," 202,286 "," 202,414 ",,1.00,0.33,0.67,0%,0.99 
220198,2020,subyearling,2019,BCA2,L,abv,,SR hatchery,,200089,,126,,757,,,,,253," 201,225 ","200,846"," 200,089 "," 200,215 ",,1.00,0.33,0.67,0%,0.99 
220282,2020,subyearling,2019,PLA2,L,abv,,SR hatchery,,204975,,129,,776,,,,,259," 206,139 ","205,751"," 204,975 "," 205,104 ",,1.00,0.33,0.67,0%,0.99 
637759,2020,subyearling,2019,GRR,N,abv,,SR hatchery,,222357,,3228,,0,,,,,0," 225,585 ","222,357"," 222,357 "," 225,585 ",,0.99,1.00,0.00,0%,1.00 
220273,2020,subyearling,2019,NPTH,N,abv,,SR hatchery,,101077,,368,,3358,,,,,694279," 799,082 ","104,435"," 101,077 "," 101,445 ",,0.13,0.00,1.00,87%,0.13 
220275,2020,subyearling,2019,LGA,N,abv,unplnd erly rel,SR hatchery,,103758,,486,,1893,,,,,49241," 155,378 ","105,651"," 103,758 "," 104,244 ",,0.68,0.01,0.99,32%,0.67 
220276,2020,subyearling,2019,CFA,N,abv,,SR hatchery,,102338,,485,,1127,,,,,110351," 214,301 ","103,465"," 102,338 "," 102,823 ",,0.48,0.00,1.00,51%,0.48 
220277,2020,subyearling,2019,NLVA,N,abv,,SR hatchery,,104278,,680,,2426,,,,,135211," 242,595 ","106,704"," 104,278 "," 104,958 ",,0.44,0.01,0.99,56%,0.43 
91459,2020,subyearling,2019,IPCSR,N,abv,,SR hatchery,,214539,,2733,,547,,,,,826274," 1,044,093 ","215,086"," 214,539 "," 217,272 ",,0.21,0.00,1.00,79%,0.21 
637356,2018,subyearling,2017,PRH,N,blw,,stray hatchery,,115269,,683720,,1708,,,,,11," 800,708 ","116,977"," 115,269 "," 798,989 ",,0.15,1.00,0.00,0%,1.00 
91279,2019,yearling,2017,UMA,N,blw,,stray hatchery,,204899,,3200,,3120,,,,,49," 211,268 ","208,019"," 204,899 "," 208,099 ",,0.98,0.98,0.02,0%,0.99 
91276,2019,yearling,2017,UMA,N,blw,,stray hatchery,,212493,,4404,,2202,,,,,1101," 220,200 ","214,695"," 212,493 "," 216,897 ",,0.98,0.80,0.20,1%,0.99 
91403,2020,yearling,2018,UMA,N,blw,,stray hatchery,,120810,,662,,0,,,,,0," 121,472 ","120,810"," 120,810 "," 121,472 ",,0.99,1.00,0.00,0%,1.00 
637521,2019,subyearling,2018,PRH,N,blw,,stray hatchery,,118932,,612969,,346,,,,,1," 732,248 ","119,278"," 118,932 "," 731,901 ",,0.16,1.00,0.00,0%,1.00 
637357,2018,subyearling,2017,PRH,N,blw,,stray hatchery,,0,,0,,119071,,,,,660606," 779,677 ","119,071", -   , -   ,,0.15,0.00,1.00,85%,0.00 
637762,2021,yearling,2019,LFYO,N,blw,3/22-23/21,SR hatchery,,389604,,8182,,2338,,,,,0," 400,124 ","391,942"," 389,604 "," 397,786 ",,0.98,1.00,0.00,0%,0.99 
220289,2021,subyearling,2020,CJA1,E,abv,5/13/2021,SR hatchery,,201013,,0,,1505,,,,,264814," 467,332 ","202,518"," 201,013 "," 201,013 ",,0.43,0.00,1.00,57%,0.43 
220291,2021,subyearling,2020,BCA1,E,abv,5/12/2021,SR hatchery,,200563,,250,,1629,,,,,255592," 458,034 ","202,192"," 200,563 "," 200,813 ",,0.44,0.00,1.00,56%,0.44 
637940,2021,subyearling,2020,LFSO,N,blw,5/18-19/21,SR hatchery,,197419,,4565,,913,,,,,356757," 559,654 ","198,332"," 197,419 "," 201,984 ",,0.35,0.01,0.99,64%,0.36 
220293,2021,subyearling,2020,PLA1,E,abv,5/5/2021,SR hatchery,,198992,,1622,,2230,,,,,203772," 406,616 ","201,222"," 198,992 "," 200,614 ",,0.49,0.01,0.99,50%,0.49 
220290,2021,subyearling,2020,CJA2,L,abv,6/3/2021,SR hatchery,,198942,,343,,1144,,,,,0," 200,429 ","200,086"," 198,942 "," 199,285 ",,1.00,1.00,0.00,0%,0.99 
220292,2021,subyearling,2020,BCA2,L,abv,6/2/2021,SR hatchery,,198728,,268,,940,,,,,0," 199,936 ","199,668"," 198,728 "," 198,996 ",,1.00,1.00,0.00,0%,1.00 
220294,2021,subyearling,2020,PLA2,L,abv,5/26/2021,SR hatchery,,198336,,488,,976,,,,,0," 199,800 ","199,312"," 198,336 "," 198,824 ",,1.00,1.00,0.00,0%,1.00 
637941,2021,subyearling,2020,GRR,N,abv,5/25/2021,SR hatchery,,168990,,3834,,142,,,,,142," 173,108 ","169,132"," 168,990 "," 172,824 ",,0.98,0.96,0.04,0%,1.00 
220274,2021,subyearling,2020,NPTH,N,abv,6/10/2021,SR hatchery,,102307,,840,,1161,,,,,672668," 776,976 ","103,468"," 102,307 "," 103,147 ",,0.13,0.00,1.00,87%,0.13 
220279,2021,subyearling,2020,LGA,N,abv,6/8/2021,SR hatchery,,102693,,1069,,1138,,,,,174345," 279,245 ","103,831"," 102,693 "," 103,762 ",,0.37,0.01,0.99,62%,0.37 
220278,2021,subyearling,2020,CFA,N,abv,6/7/2021,SR hatchery,,101221,,1148,,615,,,,,143579," 246,563 ","101,836"," 101,221 "," 102,369 ",,0.41,0.01,0.99,58%,0.42 
220280,2021,subyearling,2020,NLVA,N,abv,5/4/2021,SR hatchery,,103917,,957,,1274,,,,,142000," 248,148 ","105,191"," 103,917 "," 104,874 ",,0.42,0.01,0.99,57%,0.42 
NA,2021,subyearling,2020,IPCSR,N,abv,5/28/2021,SR hatchery,,0,,0,,0,,,,,87, 87 ,0, -   , -   ,,0.00,0.00,1.00,100%,0.00 
91579,2021,subyearling,2020,IPCSR,N,abv,5/18 & 20/21,SR hatchery,,222316,,1667,,1042,,,,,795608," 1,020,633 ","223,358"," 222,316 "," 223,983 ",,0.22,0.00,1.00,78%,0.22 
637944,2022,Yearling,2020,LFYO,N,blw,3/21-3/22/2022,SR hatchery,,429870.6239,,237,,473,,,,,3314.09001," 433,895 ","430,344"," 429,871 "," 430,108 ",,0.99,0.07,0.93,1%,0.99 
220405,2022,subyearling,2021,CJA1,E,abv,5/12/2022,SR hatchery,,202452,,774,,905,,,,,252643," 456,774 ","203,357"," 202,452 "," 203,226 ",,0.45,0.00,1.00,55%,0.44 
220407,2022,subyearling,2021,BCA1,E,abv,5/11/2022,SR hatchery,,202886,,775,,907,,,,,253647," 458,215 ","203,793"," 202,886 "," 203,661 ",,0.44,0.00,1.00,55%,0.44 
638056,2022,subyearling,2021,LFSO,N,blw,5/24-5/26/22,SR hatchery,,203311,,356,,1067,,,,,312427," 517,161 ","204,378"," 203,311 "," 203,667 ",,0.40,0.00,1.00,60%,0.39 
220403,2022,subyearling,2021,PLA1,E,abv,5/4/2022,SR hatchery,,202322,,774,,904,,,,,206393," 410,393 ","203,226"," 202,322 "," 203,096 ",,0.50,0.00,1.00,50%,0.49 
220406,2022,subyearling,2021,CJA2,L,abv,6/2/2022,SR hatchery,,196812,,753,,880,,,,,42," 198,487 ","197,692"," 196,812 "," 197,565 ",,1.00,0.95,0.05,0%,1.00 
220408,2022,subyearling,2021,BCA2,L,abv,6/1/2022,SR hatchery,,198670,,759,,888,,,,,44," 200,361 ","199,558"," 198,670 "," 199,429 ",,1.00,0.95,0.05,0%,1.00 
220404,2022,subyearling,2021,PLA2,L,abv,5/25/2022,SR hatchery,,199434,,762,,891,,,,,44," 201,131 ","200,325"," 199,434 "," 200,196 ",,1.00,0.95,0.05,0%,1.00 
220285,2022,subyearling,2021,NPTH,N,abv,6/14/2022,SR hatchery,,103454,,746,,1221,,,,,563365," 668,786 ","104,675"," 103,454 "," 104,200 ",,0.16,0.00,1.00,84%,0.16 
220288,2022,subyearling,2021,LGA,N,abv,6/8/2022,SR hatchery,,102956,,243,,580,,,,,178173," 281,952 ","103,536"," 102,956 "," 103,199 ",,0.37,0.00,1.00,63%,0.37 
220287,2022,subyearling,2021,CFA,N,abv,6/7/2022,SR hatchery,,101653,,179,,937,,,,,145025," 247,794 ","102,590"," 101,653 "," 101,832 ",,0.41,0.00,1.00,59%,0.41 
220286,2022,subyearling,2021,NLVA,N,abv,5/7/2022,SR hatchery,,104081,,293,,673,,,,,178976," 284,023 ","104,754"," 104,081 "," 104,374 ",,0.37,0.00,1.00,63%,0.37 
NA,2022,subyearling,2021,IPCSR,N,abv,6/3/2022,SR hatchery,,0,,0,,0,,,,,96, 96 ,0, -   , -   ,,0.00,0.00,1.00,100%,0.00 
92064,2022,subyearling,2021,IPCSR,N,abv,5/17-5/19/2022,SR hatchery,,201848,,6169,,1371,,,,,607596," 816,984 ","203,219"," 201,848 "," 208,017 ",,0.25,0.01,0.99,74%,0.25 
638417,2023,yearling,2021,LFYO,,blw,4/1/2023,SR hatchery,,428159,,4198,,763,,,,,890," 434,010 ","428,922"," 428,159 "," 432,357 ",,0.99,0.83,0.17,0%,1.00 
220034,2023,subyearling,2022,CJA1,,abv,5/11/2023,SR hatchery,,"201,755",,274,,"1,536",,,,,"258,034"," 461,599 ","203,291"," 201,755 "," 202,029 ",,0.44,0.00,1.00,56%,0.44 
220039,2023,subyearling,2022,BCA1,,abv,5/10/2023,SR hatchery,,"201,872",,274,,"1,536",,,,,"248,571"," 452,253 ","203,408"," 201,872 "," 202,146 ",,0.45,0.00,1.00,55%,0.45 
220038,2023,subyearling,2022,LFSO,,blw,5/24-5/26/2022,SR hatchery,,"201,852",,276,,"1,536",,,,,"561,667"," 765,332 ","203,388"," 201,852 "," 202,128 ",,0.27,0.00,1.00,73%,0.26 
220037,2023,subyearling,2022,PLA1,,abv,5/3/2023,SR hatchery,,"202,380",,275,,"1,540",,,,,"206,148"," 410,343 ","203,920"," 202,380 "," 202,655 ",,0.50,0.00,1.00,50%,0.49 
220035,2023,subyearling,2022,CJA2,,abv,6/1/2023,SR hatchery,,"201,061",,273,,"1,530",,,,,"8,821"," 211,685 ","202,591"," 201,061 "," 201,334 ",,0.96,0.03,0.97,4%,0.95 
220036,2023,subyearling,2022,BCA2,,abv,5/31/2023,SR hatchery,,"200,172",,272,,"1,523",,,,,"10,803"," 212,770 ","201,695"," 200,172 "," 200,444 ",,0.95,0.02,0.98,5%,0.94 
220037,2023,subyearling,2022,PLA2,,abv,5/24/2023,SR hatchery,,"201,247",,274,,"1,531",,,,,"17,768"," 220,820 ","202,778"," 201,247 "," 201,521 ",,0.92,0.02,0.98,8%,0.91 
638057,2023,subyearling,2022,GRR,,abv,5/25/23-5/26/23,SR hatchery,,"214,181",,"31,194",,448,,,,,0," 245,823 ","214,629"," 214,181 "," 245,375 ",,0.87,1.00,0.00,0%,1.00 
220412,2023,subyearling,2022,NPTH,,abv,6/14/2023,SR hatchery,,"100,229",,980,,"2,796",,,,,"559,728"," 663,733 ","103,025"," 100,229 "," 101,209 ",,0.16,0.00,1.00,84%,0.15 
220415,2023,subyearling,2022,LGA,,abv,6/6/2023,SR hatchery,,"102,053",,852,,"3,083",,,,,"180,185"," 286,173 ","105,136"," 102,053 "," 102,905 ",,0.37,0.00,1.00,63%,0.36 
220414,2023,subyearling,2022,CFA,,abv,6/13/2023,SR hatchery,,"98,855",,559,,"4,084",,,,,"121,100"," 224,598 ","102,939"," 98,855 "," 99,414 ",,0.46,0.00,1.00,54%,0.44 
220413,2023,subyearling,2022,NLVA,,abv,5/10/2023,SR hatchery,,"98,082",,768,,"2,609",,,,,"154,588"," 256,047 ","100,691"," 98,082 "," 98,850 ",,0.39,0.00,1.00,60%,0.39 
90011,2023,subyearling,2022,IPCSR,,abv,5/16/2023,SR hatchery,,"206,290",,"1,184",,676,,,,,"900,040"," 1,108,190 ","206,966"," 206,290 "," 207,474 ",,0.19,0.00,1.00,81%,0.19 
638078,2024,yearling,2022,LFYO,,blw,3/25/2024,SR hatchery,,"461,441",,"4,181",,"3,420",,,,,0," 469,042 ","464,861"," 461,441 "," 465,622 ",,0.99,1.00,0.00,0%,0.99 
220051,2024,subyearling,2023,CJA1,,abv,5/9/2024,SR hatchery,,"200,610",,"1,293",,500,,,,,"287,826"," 490,229 ","201,110"," 200,610 "," 201,903 ",,0.41,0.00,1.00,59%,0.41 
220049,2024,subyearling,2023,BCA1,,abv,5/8/2024,SR hatchery,,"200,628",,"1,294",,500,,,,,"258,567"," 460,989 ","201,128"," 200,628 "," 201,922 ",,0.44,0.00,1.00,56%,0.44 
638509,2024,subyearling,2023,LFSO,,blw,5/21/2024,SR hatchery,,"196,903",,"5,059",,384,,,,,"363,948"," 566,294 ","197,287"," 196,903 "," 201,962 ",,0.35,0.01,0.99,64%,0.36 
220047,2024,subyearling,2023,PLA1,,abv,5/1/2024,SR hatchery,,"202,735",,"1,307",,506,,,,,"205,433"," 409,981 ","203,241"," 202,735 "," 204,042 ",,0.50,0.01,0.99,50%,0.50 
220052,2024,subyearling,2023,CJA2,,abv,5/28/2024,SR hatchery,,"205,306",,"1,324",,512,,,,,"8,507"," 215,649 ","205,818"," 205,306 "," 206,630 ",,0.95,0.13,0.87,4%,0.96 
220050,2024,subyearling,2023,BCA2,,abv,5/29/2024,SR hatchery,,"203,627",,"1,313",,508,,,,,"10,596"," 216,044 ","204,135"," 203,627 "," 204,940 ",,0.94,0.11,0.89,5%,0.95 
220048,2024,subyearling,2023,PLA2,,abv,5/22/2024,SR hatchery,,"203,639",,"1,313",,508,,,,,"9,616"," 215,076 ","204,147"," 203,639 "," 204,952 ",,0.95,0.12,0.88,4%,0.95 
638511,2024,subyearling,2023,GRR,,abv,4/15/2024,SR hatchery,,"207,649",,"5,481",,"1,054",,,,,211," 214,395 ","208,703"," 207,649 "," 213,130 ",,0.97,0.96,0.04,0%,0.99 
220400,2024,subyearling,2023,NPTH,,abv,6/13/2024,SR hatchery,,"107,688",,705,,"4,150",,,,,"529,763"," 642,306 ","111,838"," 107,688 "," 108,393 ",,0.17,0.00,1.00,82%,0.17 
220419,2024,subyearling,2023,LGA,,abv,6/12/2024,SR hatchery,,"105,449",,239,,"3,796",,,,,"147,754"," 257,238 ","109,245"," 105,449 "," 105,688 ",,0.42,0.00,1.00,57%,0.41 
220420,2024,subyearling,2023,CFA,,abv,6/11/2024,SR hatchery,,"95,707",,369,,"2,662",,,,,"134,610"," 233,348 ","98,369"," 95,707 "," 96,076 ",,0.42,0.00,1.00,58%,0.41 
220418,2024,subyearling,2023,NLVA,,abv,5/3/2024,SR hatchery,,"107,962",,384,,"2,869",,,,,"103,302"," 214,517 ","110,831"," 107,962 "," 108,346 ",,0.52,0.00,1.00,48%,0.51 
090060,2024,subyearling,2023,IPCSR,,abv,4/14/2024,SR hatchery,,"263,145",,"2,166",,0,,,,,"851,596"," 1,116,907 ","263,145"," 263,145 "," 265,311 ",,0.24,0.00,1.00,76%,0.24 
